name,surname,pesel,date_of_birth
Aniela,Cieplucha,52313400631,1981-01-06
Emil,Ledzion,48735786648,1976-08-18
Mikołaj,Zbrzeźniak,33031718997,1986-11-09
Jacek,Budkiewicz,24300379860,1975-11-22
Cyprian,Ulfik,70606718724,1994-02-26
Nikodem,Serwach,42608070299,1977-03-11
Adam,Szajda,42230311558,1988-04-02
Leon,Widłak,85107050443,1993-07-18
Mikołaj,Gołek,34850878492,1994-02-19
Dagmara,Pieczyrak,29298479988,1985-06-06
Olgierd,Słobodzian,12040480925,1994-02-10
Rozalia,Wawrzynowicz,23699753403,1984-05-05
Marcelina,Dytko,76979288720,1981-05-12
Kornelia,Stoch,74289553798,1979-10-04
Aleks,Pieszak,67722837750,1974-08-25
Julita,Maligłówka,95988541151,1985-11-10
Malwina,Wojnicz,57649840340,2000-02-28
Andrzej,Sasak,77808569700,1990-06-04
Kajetan,Ulrych,94898252097,1990-04-23
Angelika,Zemanek,58609978073,1993-11-14
Lidia,Truchan,36481502520,1982-10-17
Ida,Nojek,26172473471,2002-11-08
Kalina,Dobosiewicz,79892498816,1986-01-16
Piotr,Hus,87881732520,1978-06-20
Bruno,Zawodnik,37923877107,1977-04-18
Szymon,Lipowicz,23810449082,1992-08-07
Sara,Majdak,38014532788,1972-11-16
Patryk,Kubów,97771178972,1987-10-18
Grzegorz,Maszczyk,40622863703,1991-03-11
Dariusz,Kociemba,85026629927,1973-03-23
Witold,Fularczyk,37369529873,1999-09-26
Jerzy,Larysz,25769017073,1988-11-28
Kornelia,Drost,83867914052,1995-05-14
Cyprian,Wiese,97466183206,1993-06-15
Marika,Wałek,68378732805,1993-04-20
Radosław,Dziadura,26341847956,1998-06-09
Inga,Fikus,69892347689,1974-10-06
Tymoteusz,Krajniak,23066873382,1990-02-05
Ksawery,Warzybok,76727023204,1979-10-18
Maurycy,Mesjasz,57220206952,1973-03-02
Bruno,Koziarz,79937534623,2003-01-13
Stefan,Stasica,37958681273,1998-04-01
Krystyna,Lula,92772919120,1997-02-06
Oliwier,Pyrkosz,46459430923,1982-05-20
Cyprian,Smektała,73897023547,2003-05-11
Marcelina,Smorąg,81416577160,1979-10-17
Nicole,Bojarczuk,75811485643,1996-04-30
Roksana,Owsiany,12891290020,1995-11-18
Jakub,Mizak,17807241374,1973-11-30
Witold,Tatarek,34242665791,1975-04-20
Ksawery,Drożdżal,35529909878,1975-11-05
Cezary,Kluczek,16802754318,1998-10-10
Filip,Makles,97464554160,1980-02-03
Wojciech,Ziajka,63948580608,1995-09-30
Kornelia,Abramczuk,14150580498,1982-03-21
Aleksander,Kościuszko,96484621661,1975-09-22
Ryszard,Migała,41700925085,1986-09-13
Konstanty,Gogola,48524307974,1975-01-31
Andrzej,Tasarz,37795224345,1992-10-31
Sara,Jędrys,71847635629,1974-11-09
Patryk,Hołysz,17398946029,1972-10-29
Julian,Wielądek,13530236023,1990-02-22
Oliwier,Paluszak,88925203131,1974-06-21
Marianna,Adamaszek,44699843768,1983-05-15
Karol,Janduła,63093725701,1997-02-08
Marianna,Białasik,77612919081,1998-12-26
Kornelia,Andrejczuk,40439902080,2003-07-09
Sonia,Grygo,80557575925,1977-01-28
Maciej,Procek,92501784980,1977-02-27
Tola,Labudda,52919944149,1980-04-13
Bruno,Dulas,88230164739,1971-09-25
Mikołaj,Druszcz,56957282389,2002-01-26
Maksymilian,Zugaj,66018620373,2002-12-03
Ewa,Wajer,74317209407,1976-04-11
Bruno,Krysta,43145380784,1989-10-10
Anastazja,Mrózek,98691657118,2003-03-20
Marek,Płoskonka,33008454629,1996-08-16
Anastazja,Arendarczyk,25243164222,1975-03-03
Wojciech,Patrzałek,99459337652,1980-02-07
Mariusz,Łyskawa,37285243983,1994-01-02
Juliusz,Chomik,28444670541,1970-01-17
Nela,Turoń,14826554396,1991-09-18
Leonard,Strzyż,12303764957,2003-01-27
Fabian,Mak,44289306539,1993-01-29
Wiktor,Migała,62846176385,1982-12-08
Borys,Sojda,43306350908,1993-12-17
Jędrzej,Leśko,69477800454,1988-03-31
Stefan,Szymańczak,24390208560,2002-11-22
Eryk,Ksel,88985042622,1999-02-28
Przemysław,Helak,70824630376,1971-07-05
Daniel,Penar,34192944498,1973-01-19
Ryszard,Sztaba,28549477636,2000-07-12
Maurycy,Pilich,60977191580,2002-05-18
Andrzej,Chojak,34551228433,1977-07-28
Cyprian,Mordak,37677529608,1970-03-07
Gustaw,Szkoła,55480013723,1995-12-10
Witold,Drop,16853135219,1995-09-03
Leonard,Draus,68983180016,1975-08-10
Leonard,Konat,33647847673,1982-04-25
Ksawery,Pazik,97832951996,1997-05-30
Bianka,Wereda,10834931302,1971-07-09
Agnieszka,Skała,37328947757,1984-08-17
Rozalia,Jałowiec,50753667705,1998-03-01
Dawid,Małys,13579522571,1985-03-26
Jerzy,Męcik,64234842486,2001-06-28
Alan,Białk,58297875161,1994-04-28
Jacek,Bekus,46942014802,1988-07-26
Sandra,Buza,47688013713,1982-10-11
Fabian,Gasik,27194883749,1973-08-11
Piotr,Mroczko,51002636094,1994-04-29
Sandra,Ciarka,20598293073,1975-10-06
Nikodem,Gosek,29237123918,1978-09-20
Franciszek,Stoltman,60871552691,1975-11-04
Monika,Zwara,82857387865,1980-06-18
Olgierd,Dylik,30575355668,1995-08-23
Aleks,Patrzałek,90637170262,2002-04-24
Ignacy,Bakiera,99967308430,2001-02-21
Robert,Żółtek,98961278883,1992-05-27
Ksawery,Preuss,81191595431,1991-12-23
Mateusz,Smalec,36185214283,1993-06-01
Dorota,Niemira,18650386924,1994-01-09
Anastazja,Samson,65226945269,1986-01-17
Dominik,Żółtek,94390253602,1991-06-08
Łukasz,Bochnia,60734915996,1977-10-22
Anna Maria,Citko,79172111493,1976-03-18
Eliza,Wlaźlak,72693621415,2002-05-18
Marianna,Tryka,90635851006,1971-06-04
Natan,Kudela,89889667344,2002-07-06
Kalina,Sasak,73780047611,1981-03-27
Dominik,Podpora,39306294362,1998-06-18
Krzysztof,Dering,96415904906,1971-01-23
Aurelia,Wojcik,60575627930,2003-10-15
Wojciech,Salwin,54648899464,1972-01-01
Ada,Szeja,52091858327,2001-06-16
Julita,Barteczko,45300534221,1995-02-26
Hubert,Magryta,14702549567,1973-05-06
Maks,Bartoszak,43519143454,1993-07-03
Borys,Bernatek,86709396096,1986-06-13
Jan,Huczek,71364936186,1982-11-23
Rozalia,Kalarus,41710670776,2002-07-25
Marianna,Materek,50286724287,1985-03-31
Maksymilian,Żok,74015794002,1987-08-18
Nikodem,Sobków,84966582555,1978-09-18
Angelika,Bogumił,22355942151,1989-10-11
Albert,Heinrich,38066351941,1974-05-02
Janina,Perczak,77606130813,1977-10-18
Natasza,Gosik,68902284494,1973-03-04
Maciej,Lubera,45537009250,2002-07-15
Jędrzej,Świętoń,28508682041,1995-11-15
Sandra,Lepka,18447824186,1978-03-13
Józef,Duży,93219631218,1975-06-27
Borys,Porwoł,27550504569,1998-07-23
Bartek,Dudała,29772947517,1986-11-01
Gaja,Bakalarczyk,78259799040,1977-08-05
Natasza,Pietraszkiewicz,97234302335,1970-01-31
Ada,Zaraś,63502474664,1984-04-23
Olga,Ziętal,32810718503,1991-09-16
Przemysław,Dziewit,77234607987,1987-09-01
Marcelina,Wojsław,13766974525,1995-08-26
Gabriel,Jędruch,49378093118,2001-12-25
Sandra,Grzejszczak,75351517305,1996-04-06
Arkadiusz,Rogula,40921741566,1986-07-10
Olga,Uss,10394529142,1995-07-15
Leon,Kopij,34368774729,1978-07-25
Mieszko,Rabiej,18359464715,2001-03-03
Rozalia,Jancewicz,56361582985,1981-10-30
Damian,Buchholz,77381859476,1986-08-14
Sara,Zbroja,98048576517,2002-05-10
Natan,Oleśkiewicz,24928814249,1998-03-16
Borys,Preś,30638828108,1989-11-27
Justyna,Kamieniarz,20595821559,1990-08-11
Łukasz,Arendarczyk,87103966994,1981-01-22
Jerzy,Sinkiewicz,66552211133,1972-10-24
Miłosz,Nestorowicz,10772167852,1988-05-22
Sebastian,Rawa,42867275332,1973-10-28
Róża,Sady,14438875886,1976-04-18
Mariusz,Filiks,37089779538,1974-07-31
Artur,Soliwoda,12230220633,1976-02-08
Antoni,Zagożdżon,83872993211,1987-07-26
Marianna,Markiel,61681479565,1981-11-04
Krzysztof,Glenc,58896845134,1979-03-15
Monika,Kolarczyk,82926221285,1976-05-28
Aurelia,Wawrzeńczyk,98694292882,1998-07-20
Inga,Stypuła,86191581333,1987-08-31
Kornelia,Kuchciak,17595873565,1996-01-20
Anita,Szlachcic,48552676553,1997-05-20
Stanisław,Buszkiewicz,28293898066,1996-06-11
Wiktor,Grzelec,34331148294,1976-02-21
Patryk,Szmagaj,72067596048,1998-06-18
Dorota,Wochna,45268987241,1975-07-20
Aleks,Brzykcy,10369666394,1987-05-28
Dorota,Pałgan,77282214305,1991-05-28
Bianka,Kasznia,28564998817,1991-05-24
Dariusz,Roskosz,99866996405,1999-10-12
Daniel,Podsiedlik,30705820519,1979-04-08
Miłosz,Piekacz,33789621261,1999-08-03
Anita,Kozłowicz,29130298486,1987-07-12
Marcel,Parkitna,39435251218,2002-02-24
Kazimierz,Wyskiel,12276940423,1984-06-27
Leonard,Sypuła,90368737908,2000-10-14
Wojciech,Kumorek,96848435222,1984-03-25
Dariusz,Kręgiel,46197600567,2000-08-25
Anita,Turoń,28118409757,1985-11-05
Piotr,Kurzydło,79063755205,1971-04-26
Blanka,Tarach,52099289337,1989-04-24
Alex,Kuryłowicz,33706219583,1991-03-02
Mikołaj,Kopiczko,85571510033,1973-01-16
Bartek,Rolak,10097465724,1999-03-29
Witold,Józefczak,81992991917,2001-07-06
Aniela,Golus,63209608714,1984-06-07
Leonard,Narożna,97068129832,1989-12-24
Sandra,Kasznia,26044849006,1992-12-20
Anita,Słomian,43955754865,1981-07-06
Witold,Protasiuk,73454717664,1991-11-23
Elżbieta,Iwańczyk,65107115411,1995-04-19
Sara,Lorenz,49741940418,1988-02-15
Justyna,Sulik,56736095932,1983-11-09
Klara,Filusz,45396655042,1978-03-28
Tola,Koral,76801796471,1995-07-08
Lidia,Tyma,18741476608,1977-05-18
Melania,Potoczna,36070937330,1971-10-19
Eliza,Rejmak,14655125508,1988-01-10
Paweł,Kanarek,66422716308,1998-11-18
Cezary,Kwasek,93052696823,1988-01-31
Kamil,Ruszel,26698136776,1984-03-02
Maksymilian,Gendera,90150642857,1976-11-13
Ewelina,Wichłacz,82230409903,1994-10-05
Bianka,Kalisiak,24927038144,1989-09-15
Apolonia,Lorenz,61180316377,1972-03-28
Bianka,Kłosowicz,14276659930,1974-04-29
Tobiasz,Łęgowik,84601909468,1983-12-15
Daniel,Dorna,55451766563,1983-01-09
Igor,Szybiak,16529719927,1994-04-03
Piotr,Ciaś,12729157573,1973-03-30
Anastazja,Piekarek,88081486124,2002-12-13
Sonia,Zapiór,11671961958,1999-02-08
Miłosz,Zander,76043210067,1974-11-09
Julianna,Szynkiewicz,13565815255,1971-07-08
Inga,Kuśka,56219207836,1996-03-10
Szymon,Morawiak,87601756634,1972-03-21
Jerzy,Och,54592158225,2003-08-10
Anastazja,Koniecko,94815699535,1978-05-25
Anastazja,Dobroń,20389514274,1994-06-26
Angelika,Garczarek,44772615219,1970-06-05
Bruno,Butrym,45239493593,1989-09-19
Adrian,Kasica,26820060624,1988-07-16
Kornelia,Krzysiek,71644342564,1997-12-31
Dominik,Kott,49935894656,1995-11-14
Patryk,Kręcichwost,41357357206,1993-09-13
Adrianna,Andrzejuk,21345520972,2000-07-08
Ewa,Litwińczuk,58668764137,1984-07-14
Maks,Jarmużek,68472725112,1985-08-12
Adrian,Kosno,59904074216,1976-12-18
Bianka,Klekot,71374401924,1997-11-08
Emil,Stróż,52633748248,1972-01-31
Marcin,Nieradzik,41636054383,1985-05-24
Radosław,Kopytko,73658216251,1976-03-23
Tymon,Rolak,83302114991,1973-12-10
Daniel,Paszkowiak,39355294893,1971-02-06
Hubert,Żuberek,63442364534,2003-10-05
Ida,Molga,35331362098,1989-11-23
Alex,Majerczyk,63748146123,1974-04-26
Grzegorz,Ciechowicz,68973779223,1986-10-08
Nela,Czerkies,95334106481,1997-02-01
Adrianna,Wołos,76735879373,1973-12-07
Ida,Dąbal,40293816671,1970-10-21
Sandra,Goral,99417860505,1979-06-17
Karina,Potoczna,78214441099,1976-12-21
Albert,Megger,29810579859,1984-09-12
Anna Maria,Walasik,69551031740,2001-10-11
