courseID,course_category,course_start_date,course_end_date,pesel
986287876,B,2020-01-01,2020-04-11,58107273951
514738093,B,2020-01-19,2020-04-15,59141311577
498765054,B,2020-01-15,2020-04-06,83412450770
459207995,B,2020-01-24,2020-05-12,72715453768
856821523,B,2020-01-04,2020-03-20,67857024777
200156537,B,2020-01-21,2020-07-23,72533289129
881713770,B,2020-01-24,2020-04-02,92029782101
417193165,D,2020-01-24,2020-05-05,18959584430
170772571,E,2020-01-10,2020-03-22,68662649313
990706155,B,2020-01-16,2020-07-15,25231531296
483294344,B,2020-01-02,2020-03-26,35803805809
646580769,B,2020-01-13,2020-07-04,96578176806
870450033,AM,2020-01-02,2020-03-07,86634778149
356416648,C,2020-01-27,2020-06-09,53718032568
500467594,B,2020-01-15,2020-07-02,61770985909
225773673,B,2020-01-17,2020-05-12,56966453796
789453725,A,2020-01-13,2020-05-18,13041996535
990957165,A,2020-01-24,2020-04-17,52566863650
981496826,B,2020-01-29,2020-03-22,64041522939
271554915,A,2020-01-30,2020-06-05,45275486418
900097872,B,2020-01-06,2020-03-19,56688577389
817380812,B,2020-01-24,2020-07-16,94924864163
939958524,A,2020-01-13,2020-02-24,52725052402
688588965,B,2020-01-01,2020-02-22,12260114901
808337490,B,2020-01-26,2020-04-22,98216373031
867281493,B,2020-01-08,2020-04-28,43042197055
891694000,B,2020-01-10,2020-04-30,49991577991
765384950,B,2020-01-10,2020-04-26,53776673445
656405402,B,2020-01-09,2020-06-19,98398884186
215918534,A,2020-01-15,2020-06-02,28680186557
315400096,C,2020-01-29,2020-05-06,14126454372
691134110,B,2020-01-25,2020-06-01,75199649028
494277657,A,2020-01-07,2020-03-06,51912044116
533697609,A,2020-01-05,2020-04-26,26037825495
920910463,B,2020-01-03,2020-03-31,36764375189
279402955,B,2020-01-28,2020-07-14,60149979131
679194609,C,2020-01-22,2020-06-22,95071457802
582356871,E,2020-01-24,2020-04-12,22708508456
967358979,B,2020-01-16,2020-05-30,21508675959
987476340,B,2020-01-28,2020-05-10,28692001262
594065751,A,2020-01-23,2020-04-28,51917131651
611602308,D,2020-01-15,2020-04-15,30766836580
384236213,C,2020-01-27,2020-03-27,60747513025
185114358,D,2020-01-13,2020-03-09,85726375223
735849702,B,2020-01-06,2020-02-25,73795243093
493342658,B,2020-01-14,2020-07-01,18615135556
453449903,B,2020-01-30,2020-05-30,66414621245
294595907,B,2020-01-16,2020-05-17,42250646820
353307123,A,2020-01-10,2020-03-09,90992030473
213233931,B,2020-01-10,2020-03-09,14736686770
887613690,B,2020-01-25,2020-04-17,54445525855
523226926,B,2020-01-15,2020-04-07,53553089894
139432416,B,2020-01-19,2020-03-28,29432459783
849023010,A,2020-01-17,2020-03-23,37476672662
884182250,D,2020-01-03,2020-03-19,96018634823
718744320,B,2020-01-22,2020-02-26,23673126215
164373748,B,2020-01-02,2020-04-03,45206735951
548129987,B,2020-01-06,2020-05-29,15693105609
150209247,B,2020-01-27,2020-07-26,93820437242
210607559,A,2020-01-23,2020-04-15,12849503491
894362288,B,2020-01-11,2020-03-25,19845629982
725596826,B,2020-01-20,2020-03-30,74094148849
499164694,B,2020-01-20,2020-07-08,96822476780
395404081,A,2020-01-25,2020-04-06,81507609969
576007398,A,2020-01-18,2020-06-28,12666101498
435747080,B,2020-01-02,2020-04-07,78298458395
829493289,C,2020-01-14,2020-03-05,61262609466
538599279,C,2020-01-20,2020-03-05,68453486208
418288384,B,2020-01-11,2020-04-17,62306953050
583859489,E,2020-01-07,2020-06-24,74361885307
832841757,AM,2020-01-23,2020-06-20,79060619849
456224025,A,2020-01-05,2020-06-21,50655263561
231897891,B,2020-01-29,2020-05-01,27876106417
956789833,B,2020-01-01,2020-06-16,36481684364
585230983,AM,2020-01-03,2020-04-05,98668065312
343517816,B,2020-01-21,2020-07-21,76860970542
838166695,E,2020-01-12,2020-04-17,86754829110
895627024,B,2020-01-29,2020-06-26,72017001542
178807384,C,2020-01-21,2020-03-01,65397071414
940789062,B,2020-01-08,2020-05-09,12624026350
376803913,B,2020-01-02,2020-02-05,71928191225
148885585,B,2020-01-17,2020-04-17,12513587837
408533707,B,2020-01-26,2020-04-04,89637893181
890745949,B,2020-01-03,2020-02-26,25813806876
135713842,C,2020-01-24,2020-03-28,53469301385
472585804,B1,2020-01-12,2020-04-28,67385588853
760563424,B,2020-01-24,2020-06-02,60555149918
859875072,B,2020-01-02,2020-06-30,23537343907
426870067,B,2020-01-31,2020-03-06,76830820475
821325452,D,2020-01-21,2020-07-13,66060924396
842141448,E,2020-01-15,2020-03-13,43284654671
819704132,B,2020-01-27,2020-04-30,30636732351
368017173,A,2020-01-06,2020-04-02,75770294751
332881249,B,2020-01-26,2020-07-13,69283138546
461690014,D,2020-01-30,2020-05-01,84207474237
549252054,A,2020-01-02,2020-02-18,41517696988
721777704,C,2020-01-14,2020-04-08,88065344535
707009446,B,2020-01-07,2020-05-12,81542606374
549964680,D,2020-01-03,2020-02-22,25030987325
549241663,B,2020-01-13,2020-02-29,68667036720
312039748,B,2020-01-10,2020-06-26,20780155795
242333289,B,2020-01-15,2020-06-13,42107953169
369047869,B,2020-01-24,2020-05-04,95643328094
473623216,A,2020-01-31,2020-07-27,43733082218
191123098,C,2020-01-07,2020-03-01,83635296384
767378495,C,2020-01-05,2020-06-01,71878080643
917125484,B,2020-01-10,2020-03-14,24127687180
735351886,D,2020-01-06,2020-06-16,24523907126
112763283,A,2020-01-03,2020-03-09,46955264980
323072181,B,2020-01-14,2020-06-22,40301145666
837242288,E,2020-01-04,2020-04-29,21731004079
641553621,B,2020-01-16,2020-03-17,23415831936
533148896,B,2020-01-16,2020-04-08,17375771884
678344368,B,2020-01-23,2020-07-08,51102951657
737511050,B,2020-01-20,2020-06-19,78007428329
525042881,B,2020-01-31,2020-04-25,92446146384
332660991,C,2020-01-12,2020-06-20,31599854171
740083992,B,2020-01-06,2020-04-03,93546979777
460405592,A,2020-01-13,2020-05-06,92484334714
299980163,B,2020-01-25,2020-03-02,60991425794
114892294,B,2020-01-22,2020-04-22,72369720014
109154745,C,2020-01-01,2020-03-08,79895485965
150006646,B,2020-01-14,2020-05-29,52167960364
764492918,B,2020-01-25,2020-03-31,89753650428
980845246,B,2020-01-21,2020-06-22,89636992815
229501438,B,2020-01-02,2020-02-21,89075737791
290590774,B,2020-01-21,2020-07-22,88574547106
995995838,B,2020-01-20,2020-06-30,19343997481
494253668,C,2020-01-13,2020-03-06,78336830873
353645387,B,2020-01-25,2020-05-06,59524073160
356351199,B,2020-01-28,2020-04-27,15101569114
889052369,E,2020-01-19,2020-06-12,30229849636
336273093,B,2020-01-10,2020-02-23,17877969230
645446950,B,2020-01-04,2020-02-25,20633873736
308771643,AM,2020-01-30,2020-06-19,79381275677
566192655,A,2020-01-23,2020-03-08,40455440724
140786586,B,2020-01-23,2020-03-18,10077804567
987745067,B,2020-01-06,2020-02-16,59333449241
334117692,B,2020-01-01,2020-02-22,67940681738
223416722,AM,2020-01-20,2020-04-21,94281298977
187559795,E,2020-01-16,2020-04-15,59462509246
934299272,E,2020-01-01,2020-04-24,76769031102
910858439,D,2020-01-13,2020-06-06,87225042323
508270494,B,2020-01-05,2020-02-04,25044573331
571436613,B,2020-01-23,2020-07-12,56625247953
250755223,B,2020-01-02,2020-05-09,63711092791
506045699,E,2020-01-31,2020-06-11,83601506573
712200916,B1,2020-01-04,2020-02-16,18682436340
490788522,C,2020-01-05,2020-02-12,81530707016
892175109,B,2020-01-28,2020-07-16,61814957534
907829571,D,2020-01-07,2020-07-07,16223207648
472918257,B,2020-01-20,2020-06-20,46525904579
750386387,E,2020-01-20,2020-02-26,69753277195
699126799,B,2020-01-05,2020-04-27,16559490100
165327269,B,2020-01-07,2020-03-30,81488771501
126749748,B,2020-01-10,2020-03-29,10183099217
543629355,B,2020-01-20,2020-03-07,19943124648
735343560,B,2020-01-11,2020-02-11,73824420689
457952229,B,2020-01-20,2020-03-29,23637846109
787409046,B,2020-01-24,2020-06-03,34342532797
710072287,B,2020-01-14,2020-03-21,63627449105
820241065,A,2020-01-21,2020-04-13,32805216451
464974943,AM,2020-01-30,2020-03-04,35481873065
249644538,B,2020-01-23,2020-05-22,70600428799
552634619,B,2020-01-09,2020-04-15,89491432231
610385545,B,2020-01-06,2020-03-15,73780802329
606618715,A,2020-01-08,2020-06-04,81789233662
323433078,B,2020-01-30,2020-04-09,94035946285
226537576,B,2020-01-30,2020-03-06,34067135328
941014285,B,2020-01-04,2020-04-29,71575356355
244697891,B,2020-01-13,2020-06-03,83139703915
883440627,B,2020-01-09,2020-06-09,34115425203
165487290,B,2020-01-03,2020-05-25,16118250939
222807986,A,2020-01-13,2020-04-09,99197431992
429100443,A,2020-01-03,2020-04-15,68078958745
298562799,B,2020-01-06,2020-07-02,22148164451
978136581,B,2020-01-08,2020-03-13,64125411884
476058336,B,2020-01-19,2020-02-25,29489575261
627602360,B,2020-01-21,2020-02-24,28773533981
146411340,B,2020-01-31,2020-05-17,37625765282
784072818,B,2020-01-25,2020-07-11,12847852748
407523005,A,2020-01-27,2020-03-19,72662718975
741225195,B,2020-01-01,2020-03-31,83728101898
798476483,B,2020-01-03,2020-04-10,79599442896
427083648,B,2020-01-19,2020-05-11,66899970008
767957152,B,2020-01-03,2020-05-17,77192416913
866662801,B,2020-01-31,2020-05-22,13220034573
177136688,B,2020-01-28,2020-06-26,99476324600
382721575,A,2020-01-19,2020-06-17,23702536865
187219474,E,2020-01-23,2020-04-21,43213123237
215164322,A,2020-01-06,2020-03-07,23352479268
709730024,B,2020-01-03,2020-04-20,51209849344
475044690,D,2020-01-22,2020-04-26,79901739464
127524512,B,2020-01-16,2020-03-02,46956501660
791369018,B,2020-01-31,2020-04-28,80886487453
939851093,B1,2020-01-13,2020-04-30,34888267578
399800335,B,2020-01-09,2020-03-22,25033563042
923631159,A,2020-01-11,2020-06-23,13037814533
204948067,AM,2020-01-08,2020-06-20,65397892070
189870149,B,2020-01-03,2020-02-05,49438994097
346501546,B,2020-01-19,2020-07-17,99739715100
389530759,B,2020-01-12,2020-05-06,63565869398
697067464,B,2020-01-29,2020-05-18,12806883860
741799257,C,2020-01-11,2020-06-23,69975939594
529837958,A,2020-01-31,2020-07-17,64572145471
179483574,B,2020-01-10,2020-05-01,10666582009
585454591,A,2020-01-08,2020-03-26,49783939111
304207519,A,2020-01-08,2020-06-26,94063887430
534924398,B,2020-01-09,2020-05-30,51685473826
685758474,D,2020-01-08,2020-04-11,84822169833
162769676,B,2020-01-09,2020-03-10,45805377920
567035971,B,2020-01-20,2020-07-07,71184405671
881541025,B,2020-01-16,2020-02-20,45324924272
166635521,B,2020-01-18,2020-03-10,92985573507
489181368,A,2020-01-27,2020-07-13,20268288497
867375658,A,2020-01-21,2020-06-30,30833850185
475653436,B,2020-01-30,2020-03-30,60955485406
548456585,A,2020-01-01,2020-04-18,43652294741
493263515,B,2020-01-30,2020-05-04,56607198557
812806199,B,2020-01-29,2020-07-10,18990437912
709422746,A,2020-01-22,2020-07-03,83279866551
426882187,B,2020-01-11,2020-05-07,97405858988
382601124,B,2020-01-05,2020-06-07,51405971815
552508017,B,2020-01-17,2020-06-30,58842833500
705313394,B,2020-01-13,2020-04-15,11949296039
219386355,E,2020-01-26,2020-07-28,99677806340
851012176,B,2020-01-30,2020-04-18,29879802264
659538635,B,2020-01-07,2020-05-03,55649010492
869670559,C,2020-01-01,2020-03-17,66162158493
775915854,A,2020-01-09,2020-03-22,47716461662
402311290,C,2020-01-25,2020-06-27,68035901164
671538872,A,2020-01-02,2020-03-22,56026276395
859514588,B,2020-01-21,2020-03-08,35806371403
102013612,B,2020-01-11,2020-02-21,83132491661
570790046,B,2020-01-07,2020-06-25,46851123352
722744334,B,2020-01-23,2020-05-24,40338878832
888687706,A,2020-01-04,2020-07-05,92188208547
441359622,B,2020-01-19,2020-03-26,71723689625
958307946,B,2020-01-26,2020-03-12,93048056447
485002037,A,2020-01-05,2020-03-28,70122768312
110550734,AM,2020-01-18,2020-04-06,50817481640
711013223,C,2020-01-21,2020-04-07,13855829463
367145332,B,2020-01-01,2020-06-06,34270943940
519988368,D,2020-01-04,2020-02-16,31485592175
571290630,C,2020-01-23,2020-02-24,69890251101
962329764,B,2020-01-27,2020-04-30,59198570109
341491233,C,2020-01-03,2020-03-12,10876391352
832640876,B,2020-01-01,2020-03-13,29502356802
530540137,A,2020-01-18,2020-03-23,41171870089
498936663,C,2020-01-10,2020-03-10,15270127307
360601059,B,2020-01-05,2020-02-06,57666310859
973462898,B,2020-01-02,2020-05-20,40675542579
921032403,B,2020-01-25,2020-05-08,27144231735
852324503,B,2020-01-27,2020-04-20,14233058063
321562069,D,2020-01-13,2020-04-01,82627104944
282173839,B,2020-01-03,2020-06-26,63076918742
265511383,A,2020-01-14,2020-04-15,28952232514
128320387,B,2020-01-06,2020-05-26,26556035397
842869307,E,2020-01-14,2020-07-02,27679149270
872072789,C,2020-01-25,2020-05-30,56266877241
750799531,D,2020-01-27,2020-06-06,30793893974
169871919,B,2020-01-11,2020-06-17,48219813929
920961095,B,2020-01-27,2020-03-19,93710479156
673913939,C,2020-01-24,2020-06-29,56359845050
970269778,D,2020-01-02,2020-02-02,69406251019
496110504,B,2020-01-20,2020-03-09,45290140648
609406890,B,2020-01-28,2020-05-30,68948740677
638985932,E,2020-01-31,2020-07-31,43850912435
266017460,B,2020-01-06,2020-06-09,26771206821
977107979,B,2020-01-26,2020-04-18,41660932030
980113422,A,2020-01-16,2020-05-29,44476959352
255247130,B,2020-01-24,2020-04-20,52313400631
347405801,B,2020-01-05,2020-02-09,48735786648
806969525,B,2020-01-25,2020-03-23,33031718997
987213081,D,2020-01-21,2020-02-29,24300379860
849895911,B,2020-01-07,2020-04-09,70606718724
984300163,B,2020-01-14,2020-06-06,42608070299
445246272,B,2020-01-14,2020-06-29,42230311558
907832570,B,2020-01-22,2020-06-17,85107050443
733180248,B,2020-01-03,2020-04-11,34850878492
816846041,C,2020-01-01,2020-03-08,29298479988
425043373,A,2020-01-28,2020-05-15,12040480925
822870842,A,2020-01-22,2020-04-22,23699753403
829868227,B,2020-01-24,2020-03-14,76979288720
594472511,B,2020-01-25,2020-04-16,74289553798
605431298,C,2020-01-01,2020-03-28,67722837750
806204144,B,2020-01-23,2020-05-24,95988541151
477904469,B,2020-01-22,2020-05-19,57649840340
276824157,B,2020-01-21,2020-05-08,77808569700
735340790,B,2020-01-27,2020-07-20,94898252097
840064019,B,2020-01-18,2020-06-12,58609978073
797938287,AM,2020-01-02,2020-04-15,36481502520
724370776,B,2020-01-09,2020-07-09,26172473471
178234015,AM,2020-01-08,2020-02-25,79892498816
289368418,A,2020-01-01,2020-06-03,87881732520
864736991,E,2020-01-20,2020-02-19,37923877107
166239346,A,2020-01-10,2020-05-12,23810449082
222139840,AM,2020-01-18,2020-04-28,38014532788
769965906,B,2020-01-21,2020-04-27,97771178972
510562719,B,2020-01-17,2020-03-15,40622863703
434154982,C,2020-01-15,2020-04-25,85026629927
443774464,A,2020-01-16,2020-04-29,37369529873
330772090,A,2020-01-10,2020-04-17,25769017073
103000819,B,2020-01-06,2020-02-08,83867914052
405474289,B,2020-01-16,2020-04-21,97466183206
814038875,A,2020-01-08,2020-05-16,68378732805
269077364,B,2020-01-28,2020-05-17,26341847956
315866822,B,2020-01-05,2020-06-10,69892347689
570536294,B,2020-01-23,2020-03-08,23066873382
927595747,D,2020-01-16,2020-04-24,76727023204
717605278,B,2020-01-17,2020-02-23,57220206952
168044928,AM,2020-01-16,2020-06-28,79937534623
954760041,B,2020-01-13,2020-06-12,37958681273
409125367,C,2020-01-20,2020-07-01,92772919120
614469718,B,2020-01-05,2020-05-15,46459430923
727583288,A,2020-01-13,2020-06-07,73897023547
700970273,A,2020-01-24,2020-05-26,81416577160
461116169,A,2020-01-07,2020-03-30,75811485643
293399979,B,2020-01-15,2020-04-22,12891290020
572026577,A,2020-01-18,2020-07-11,17807241374
943652614,B,2020-01-14,2020-06-25,34242665791
940450066,E,2020-01-07,2020-03-22,35529909878
261723213,B,2020-01-26,2020-05-22,16802754318
595946589,B,2020-01-08,2020-07-01,97464554160
592169401,B,2020-01-09,2020-02-28,63948580608
939275268,B,2020-01-03,2020-06-20,14150580498
584114754,B,2020-01-20,2020-04-14,96484621661
795004967,B1,2020-01-18,2020-07-04,41700925085
739121172,D,2020-01-28,2020-07-24,48524307974
782307315,B,2020-01-16,2020-05-26,37795224345
305183698,B,2020-01-27,2020-04-21,71847635629
470716786,B,2020-01-18,2020-05-28,17398946029
322332470,C,2020-01-05,2020-03-28,13530236023
833435647,B,2020-01-05,2020-04-12,88925203131
809652928,E,2020-01-06,2020-05-27,44699843768
585305522,B,2020-01-01,2020-02-28,63093725701
847269317,B,2020-01-02,2020-03-20,77612919081
955521434,B,2020-01-07,2020-07-02,40439902080
406030142,A,2020-01-26,2020-04-04,80557575925
382990675,B,2020-01-27,2020-06-11,92501784980
784008461,B,2020-01-30,2020-05-24,52919944149
988760897,B,2020-01-11,2020-05-12,88230164739
737726760,E,2020-01-07,2020-04-07,56957282389
972639995,B,2020-01-07,2020-05-28,66018620373
178463065,B,2020-01-12,2020-06-03,74317209407
522951459,B,2020-01-15,2020-06-05,43145380784
917159717,C,2020-01-18,2020-02-19,98691657118
512504399,B,2020-01-03,2020-02-24,33008454629
748227392,E,2020-01-21,2020-06-06,25243164222
308420287,E,2020-01-26,2020-03-25,99459337652
607512785,D,2020-01-13,2020-03-30,37285243983
874194533,B,2020-01-19,2020-04-23,28444670541
229021688,B,2020-01-31,2020-05-15,14826554396
203399500,B,2020-01-11,2020-05-02,12303764957
885802170,B,2020-01-14,2020-07-05,44289306539
591854131,B,2020-01-15,2020-05-23,62846176385
437936120,B,2020-01-27,2020-03-11,43306350908
811074055,B,2020-01-21,2020-05-24,69477800454
645818874,B,2020-01-04,2020-06-24,24390208560
779603463,B,2020-01-26,2020-07-02,88985042622
169139626,B,2020-01-28,2020-05-14,70824630376
840381454,A,2020-01-16,2020-05-07,34192944498
184972508,A,2020-01-11,2020-04-17,28549477636
652578389,B,2020-01-09,2020-03-10,60977191580
163647371,B,2020-01-18,2020-05-14,34551228433
697941712,B,2020-01-09,2020-02-25,37677529608
315880075,A,2020-01-20,2020-03-25,55480013723
954631574,A,2020-01-27,2020-05-04,16853135219
730883923,B,2020-01-10,2020-05-09,68983180016
808977121,C,2020-01-11,2020-04-22,33647847673
856381752,B,2020-01-21,2020-07-16,97832951996
629157895,B,2020-01-14,2020-02-23,10834931302
828339557,B1,2020-01-24,2020-04-10,37328947757
725517889,A,2020-01-18,2020-03-28,50753667705
276088571,B,2020-01-18,2020-06-13,13579522571
133125465,C,2020-01-14,2020-04-26,64234842486
929589472,D,2020-01-08,2020-05-21,58297875161
642401373,B,2020-01-15,2020-06-30,46942014802
569489867,B,2020-01-11,2020-04-19,47688013713
282810153,B,2020-01-13,2020-06-10,27194883749
571718343,D,2020-01-23,2020-07-13,51002636094
509131599,D,2020-01-01,2020-06-10,20598293073
414899579,A,2020-01-28,2020-05-13,29237123918
162435865,A,2020-01-12,2020-04-06,60871552691
363996007,B,2020-01-02,2020-04-16,82857387865
989194617,C,2020-01-20,2020-06-14,30575355668
871195019,B,2020-01-28,2020-03-16,90637170262
334162213,B,2020-01-21,2020-05-04,99967308430
112546130,B,2020-01-27,2020-03-20,98961278883
222491322,A,2020-01-26,2020-06-05,81191595431
275033544,B,2020-01-26,2020-03-11,36185214283
514277073,C,2020-01-28,2020-03-25,18650386924
299331156,A,2020-01-16,2020-03-25,65226945269
270891872,D,2020-01-29,2020-05-02,94390253602
345716024,D,2020-01-15,2020-04-15,60734915996
474633656,A,2020-01-30,2020-07-11,79172111493
407222268,B,2020-01-12,2020-02-14,72693621415
897235513,A,2020-01-27,2020-06-05,90635851006
867074883,A,2020-01-19,2020-03-10,89889667344
284365403,C,2020-01-30,2020-06-22,73780047611
401034441,A,2020-01-29,2020-07-12,39306294362
942542429,D,2020-01-28,2020-05-01,96415904906
429694270,B,2020-01-16,2020-04-27,60575627930
964617653,B,2020-01-07,2020-05-21,54648899464
626956614,B,2020-01-20,2020-02-20,52091858327
519848724,AM,2020-01-30,2020-06-01,45300534221
935655130,B,2020-01-08,2020-06-24,14702549567
755195065,D,2020-01-21,2020-06-11,43519143454
271939726,B,2020-01-23,2020-06-07,86709396096
835039669,B1,2020-01-20,2020-05-23,71364936186
785774771,E,2020-01-24,2020-05-23,41710670776
527410394,B,2020-01-12,2020-07-08,50286724287
210895190,B,2020-01-15,2020-06-17,74015794002
980104869,C,2020-01-07,2020-03-08,84966582555
930399185,B,2020-01-02,2020-06-19,22355942151
261729846,B,2020-01-05,2020-05-22,38066351941
399478009,B,2020-01-09,2020-02-09,77606130813
336594036,B,2020-01-16,2020-05-17,68902284494
363387895,AM,2020-01-21,2020-03-16,45537009250
393756505,C,2020-01-22,2020-02-23,28508682041
399090621,B,2020-01-25,2020-06-09,18447824186
388226210,B,2020-01-05,2020-06-26,93219631218
917097418,B,2020-01-31,2020-03-25,27550504569
158230224,B,2020-01-09,2020-04-09,29772947517
159239098,A,2020-01-21,2020-04-16,78259799040
276386791,B,2020-01-27,2020-04-24,97234302335
226958433,B,2020-01-28,2020-04-18,63502474664
816134001,C,2020-01-17,2020-04-06,32810718503
328715349,B,2020-01-06,2020-03-14,77234607987
855516327,B,2020-01-08,2020-03-29,13766974525
302680418,C,2020-01-29,2020-04-17,49378093118
363147545,B,2020-01-28,2020-03-02,75351517305
567346482,C,2020-01-13,2020-03-16,40921741566
724107231,B,2020-01-11,2020-06-29,10394529142
229815920,A,2020-01-21,2020-07-22,34368774729
880886151,A,2020-01-16,2020-05-01,18359464715
542097240,D,2020-01-17,2020-06-12,56361582985
741888261,A,2020-01-28,2020-06-10,77381859476
249763814,B,2020-01-05,2020-05-16,98048576517
556638534,B,2020-01-25,2020-03-02,24928814249
253098748,B,2020-01-16,2020-02-19,30638828108
328964574,A,2020-01-10,2020-05-25,20595821559
393049065,E,2020-01-03,2020-04-27,87103966994
222433138,A,2020-01-05,2020-03-09,66552211133
439933566,B,2020-01-10,2020-03-27,10772167852
637582674,B,2020-01-28,2020-05-09,42867275332
147058247,B,2020-01-05,2020-02-07,14438875886
682654048,C,2020-01-08,2020-05-01,37089779538
703640312,B,2020-01-02,2020-05-02,12230220633
937904329,B,2020-01-28,2020-06-28,83872993211
910341388,B,2020-01-24,2020-03-01,61681479565
106607995,B,2020-01-07,2020-04-25,58896845134
402676544,D,2020-01-06,2020-06-17,82926221285
935477419,B,2020-01-20,2020-03-16,98694292882
108347200,B,2020-01-10,2020-06-26,86191581333
279272113,B,2020-01-22,2020-03-18,17595873565
168351352,B,2020-01-19,2020-07-13,48552676553
965472155,B,2020-01-11,2020-03-04,28293898066
907725805,B,2020-01-20,2020-04-05,34331148294
296330527,B,2020-01-16,2020-07-10,72067596048
987000236,C,2020-01-03,2020-04-21,45268987241
380110967,B,2020-01-21,2020-07-23,10369666394
515711308,C,2020-01-13,2020-02-19,77282214305
330486766,B,2020-01-14,2020-02-17,28564998817
825067963,A,2020-01-25,2020-03-28,99866996405
574902347,B,2020-01-10,2020-06-23,30705820519
496697603,B,2020-01-19,2020-03-24,33789621261
965224393,B,2020-01-07,2020-03-24,29130298486
299252171,B1,2020-01-02,2020-02-29,39435251218
202495944,C,2020-01-09,2020-03-03,12276940423
533347442,B,2020-01-07,2020-04-14,90368737908
337404797,B,2020-01-09,2020-04-12,96848435222
999042125,B,2020-01-19,2020-02-27,46197600567
248063334,AM,2020-01-21,2020-04-04,28118409757
259215236,E,2020-01-01,2020-05-26,79063755205
634574741,B,2020-01-11,2020-04-08,52099289337
692760376,B,2020-01-29,2020-05-29,33706219583
129555465,C,2020-01-14,2020-06-29,85571510033
364982558,C,2020-01-19,2020-04-03,10097465724
502610088,A,2020-01-08,2020-04-17,81992991917
209389219,A,2020-01-20,2020-06-02,63209608714
198419370,B,2020-01-10,2020-03-04,97068129832
376140332,B,2020-01-16,2020-04-03,26044849006
463433477,B,2020-01-24,2020-05-30,43955754865
579509886,B,2020-01-22,2020-02-23,73454717664
219739840,E,2020-01-22,2020-05-10,65107115411
526183354,B,2020-01-17,2020-02-20,49741940418
416375375,B,2020-01-14,2020-05-23,56736095932
895330341,B,2020-01-04,2020-02-03,45396655042
795075947,B1,2020-01-10,2020-06-12,76801796471
580963405,A,2020-01-10,2020-04-26,18741476608
