name,surname,date_of_birth,date_of_hiring,firing_date,pesel
Arkadiusz,Litewka,1999-09-01,2021-03-27,,74346749267
Eliza,Malara,1996-03-10,2021-01-07,,59487513148
Monika,Misztela,1974-07-06,2020-03-03,,52954028358
Franciszek,Maculewicz,1977-10-17,2023-02-25,,55208013411
Ewelina,Michnowicz,1967-05-10,2022-10-13,,79676451363
Marcin,Żabierek,1989-05-10,2023-04-07,,19419217076
Sonia,Broś,1966-09-27,2023-10-05,,43138877953
Robert,Kuszyk,1980-12-20,2020-09-17,,75695474896
Nikodem,Faltyn,1993-03-04,2022-10-25,,60959830613
Tola,Jachimczak,1998-08-09,2021-09-22,,41841798074
Aniela,Barej,1973-11-11,2021-09-30,,69172900369
Tymon,Siarkiewicz,1974-08-27,2022-04-15,,52276865068
Ada,Sadza,2000-06-16,2023-08-13,,50601162054
Marika,Szmurło,1966-08-01,2020-09-19,,14815704792
Stefan,Nieradko,1989-01-18,2022-02-19,,16545339021
Bruno,Czermak,1987-02-26,2022-05-24,,61667671092
Bianka,Pospiech,1995-11-11,2021-10-09,,98909619801
Łukasz,Fura,1991-03-09,2021-04-24,,96630899118
Sylwia,Makieła,2002-03-10,2020-09-08,,14356771094
Alex,Buszko,1998-03-17,2020-01-06,,53477420893
Agnieszka,Drgas,1997-02-11,2021-07-08,,27840693983
Alex,Klebba,1988-07-22,2023-04-26,,94213690666
Julianna,Zacharczuk,1989-05-30,2021-08-09,,97552849271
Blanka,Toś,1976-06-12,2020-10-11,,91743146136
Jerzy,Milcarz,2000-05-22,2020-04-14,,42091255699
Borys,Samulak,1976-05-20,2020-05-10,,68879259969
Hubert,Kazimierczyk,2002-03-31,2023-04-16,,28107552649
Hubert,Samoraj,1975-08-13,2021-10-06,,72544065792
Dariusz,Rajczyk,1999-05-09,2020-08-23,,70932565429
Ewa,Strządała,1986-08-10,2021-11-11,,77954830241
Szymon,Bitner,1988-07-09,2020-05-14,2023-04-29,54392018558
Jan,Galon,1981-03-14,2023-02-08,,35763451725
Roksana,Wojtaszczyk,1977-09-06,2021-02-18,,91022844798
Ignacy,Glapiak,1973-11-18,2023-12-23,,29401212975
Elżbieta,Sypek,2001-08-19,2020-05-07,,95553244627
Inga,Przewoźnik,1968-09-18,2020-10-06,,57287077103
Nicole,Tułacz,1966-05-26,2020-11-02,,50995575293
Nikodem,Trepka,1977-06-10,2021-08-24,,63314530888
Leonard,Bździuch,1970-01-18,2022-09-30,,55955147394
Dagmara,Daraż,1979-10-24,2023-06-13,,80754355359
Anna Maria,Dubis,1980-07-16,2020-11-10,,67937636255
Kajetan,Kacperek,1976-09-27,2022-10-30,2024-07-09,29340382561
Klara,Kołpak,1986-07-30,2023-08-12,,66760582954
Stanisław,Majdak,1997-07-13,2021-04-25,,58501650091
Bartek,Rompa,1988-03-30,2020-06-19,,75547578647
Monika,Bryda,1972-07-08,2023-01-09,,62638850693
Rafał,Majdak,1999-05-09,2021-03-28,,49446702905
Ewelina,Tarach,1972-06-19,2023-06-29,,50022203569
Dorota,Wawrzynowicz,1980-07-26,2021-10-23,,88821446130
Piotr,Duc,1988-06-24,2023-10-01,,84503567282
Ada,Matyka,1966-08-23,2021-02-10,,21594923382
Juliusz,Kretowicz,1978-12-13,2020-07-04,,42625239688
Ada,Cyrulik,1969-07-06,2022-05-27,,90161926626
Natasza,Golenia,1991-06-29,2022-01-14,,10740907880
Antoni,Politowicz,1972-07-02,2023-02-17,,59003399607
Tobiasz,Zinkiewicz,1986-05-24,2021-11-25,,10465284527
Marek,Kołtuniak,1982-02-02,2023-09-25,,51763011906
Nicole,Garbaciak,1987-08-12,2022-12-07,,66529090870
Damian,Glapiak,1965-08-30,2020-01-12,,17769144057
Justyna,Żołna,1987-08-11,2023-01-14,,58154482304
Dawid,Golak,1967-07-02,2023-07-03,,27723284455
Mariusz,Lizoń,1992-10-28,2022-09-02,,55890500178
Angelika,Karłowicz,1997-11-11,2020-10-23,,31048952671
Przemysław,Mejer,1980-07-04,2023-09-26,,37033010793
Robert,Frącz,1987-09-23,2020-05-09,,50517521440
Sebastian,Pytko,1985-09-24,2023-08-09,,95666624358
Marcelina,Bylina,1973-06-06,2021-07-10,,40872785245
Ryszard,Zacharek,1980-02-09,2021-12-15,,91208895781
Ewelina,Majnusz,1984-09-30,2022-01-24,,11645047647
Maciej,Bartman,1978-08-03,2023-12-18,,55093072874
Jacek,Kamyszek,1977-12-13,2023-07-18,,79907220715
Maurycy,Pałgan,1998-06-06,2020-12-27,2024-01-21,34541339987
Anna Maria,Kopczyk,2000-11-23,2021-09-13,2022-01-04,15652398327
Tymoteusz,Waleczek,1983-07-14,2022-06-08,,66167828784
Angelika,Kubasiak,1973-05-27,2021-08-26,,10414409944
Daniel,Waniek,1988-03-22,2023-07-11,,71608126256
Nikodem,Budkiewicz,1992-07-09,2020-04-24,,45658827553
Tymoteusz,Podpora,1980-09-22,2020-09-17,,76439397286
Angelika,Piechna,1977-05-21,2022-09-16,,91319647609
Grzegorz,Laszczyk,2000-12-26,2022-07-06,,16317428340
Tymoteusz,Pietrewicz,1990-05-02,2023-07-22,,44570382495
Eliza,Galon,1967-06-22,2021-04-25,,91461995784
Marcel,Białasik,1979-06-12,2023-05-17,,59137437029
Jan,Kwapis,1983-08-30,2023-10-23,,29421577521
Karol,Olas,1992-10-01,2021-09-01,,51173307504
Wiktor,Mosiołek,1981-10-12,2022-08-27,,12176222427
Malwina,Olesiejuk,1982-07-01,2021-10-07,,14927154124
Tola,Michel,1990-06-26,2021-12-12,,22150411411
Ernest,Basista,1969-12-11,2020-05-04,,48731141056
Tola,Młocek,1988-05-26,2020-05-19,,57298617133
Dorota,Mokwa,2001-08-25,2022-09-17,,87709636435
Kazimierz,Heczko,1973-02-02,2023-07-03,,10638798569
Alan,Małota,1966-12-30,2020-07-12,,71353799825
Tobiasz,Janiszek,1980-10-16,2022-08-01,,13796648636
Stefan,Krasa,1987-05-12,2023-12-12,,95721986520
Jeremi,Domoń,1979-09-07,2021-02-17,,22338119823
Blanka,Wawrzkiewicz,1979-07-13,2020-05-14,,89395415622
Ewelina,Tolak,1968-10-21,2021-04-16,,99515218814
Dawid,Koss,1965-01-30,2022-02-22,,18991254042
Karina,Wiertelak,1983-05-02,2023-02-17,,59118099808
Kamila,Wałęsa,1970-01-25,2020-11-05,2023-08-13,84380261940
Marek,Pacyga,1985-06-06,2020-11-20,,78555577991
Liwia,Podpora,1983-08-08,2021-11-25,,97894377797
Ewa,Welc,1968-05-28,2023-04-13,,88989599092
Anna Maria,Hampel,1980-10-24,2020-10-16,,56980814148
Fryderyk,Ligenza,1995-09-15,2020-06-29,,39104024700
Ida,Leonowicz,1979-03-10,2023-09-18,,21465633891
Tobiasz,Cywka,1979-03-13,2020-08-25,,56222100783
Lidia,Hampel,1975-03-14,2020-04-11,,85196665516
Adrian,Zaraś,1997-08-05,2021-12-21,,66520800550
Radosław,Karpik,1998-09-24,2023-03-17,2024-09-17,90395822162
Błażej,Bakiera,1967-04-26,2022-04-09,,81166464130
Błażej,Pawlonka,1972-07-20,2021-05-27,,86838555727
Maurycy,Kacperek,2001-07-05,2023-07-29,,86145196990
Sylwia,Związek,2002-03-18,2022-01-03,,63476742893
Witold,Radzewicz,1988-02-26,2020-04-20,,50141733695
Andrzej,Sadownik,1996-10-03,2020-06-25,,47952892973
Michał,Paw,1973-08-15,2020-07-23,,29562477386
Kazimierz,Goj,1969-03-21,2020-12-07,2024-04-13,34548678210
Julian,Pajda,1977-04-02,2022-07-26,,13934785058
Nicole,Sura,1972-10-24,2021-01-26,,21593350511
Janina,Wereda,1985-10-23,2022-12-29,,92436345353
Marek,Bodek,1997-06-03,2021-08-22,,28755533639
Gabriel,Wrochna,1988-01-01,2022-10-03,,59464631304
Krzysztof,Polnik,1965-01-30,2020-07-06,,49851433655
Rafał,Kopczyk,1991-11-19,2020-09-23,,63564794987
Witold,Grzeszkowiak,1978-12-08,2023-06-17,,24706854262
Liwia,Makar,1983-07-09,2020-01-19,,97560403661
Maurycy,Herba,1971-04-27,2020-01-07,,68704423370
Jan,Gradek,2002-05-01,2023-08-13,,67357595024
Maciej,Filas,1988-10-29,2021-08-02,2024-04-13,77749053840
Jędrzej,Manista,1978-02-17,2023-05-23,,21679406607
Bruno,Kaczmar,1979-10-27,2022-07-24,2024-09-10,76200225168
Blanka,Sporysz,1966-10-25,2022-05-12,,76501701641
Marcin,Tyczka,1990-08-02,2022-03-20,,84635283150
Ada,Hermann,2002-07-10,2021-12-03,,40821892091
Ada,Tołoczko,1989-04-27,2022-07-21,,76897450836
Wiktor,Bortkiewicz,1980-05-27,2023-05-28,,73066794955
Damian,Wdowczyk,2001-08-21,2023-01-13,,45042361245
Monika,Fras,1970-02-04,2020-02-29,,10808043038
Eliza,Rzeźniczek,1987-12-25,2021-09-18,,99309223049
Cyprian,Zielke,1996-10-29,2022-09-21,2023-02-15,66070265567
Urszula,Potok,1970-06-25,2023-04-16,,38362629924
Dominik,Brodowicz,1967-02-01,2023-05-10,,34598042073
Konstanty,Majczyna,1974-04-02,2021-08-26,,77651248574
Borys,Lelonek,1965-11-11,2022-04-06,,44279574336
Karol,Miszkiewicz,1976-12-21,2022-12-06,,59942572638
Daniel,Drobek,1979-06-10,2020-03-19,,85292450324
Tymon,Brodawka,1967-11-18,2022-05-05,,75367404542
Wiktor,Gajownik,1989-11-21,2021-06-20,,25836004044
Igor,Wąsiewicz,1992-12-08,2021-09-27,,33012694004
Agnieszka,Zbroja,1975-10-19,2023-05-11,,31974973764
Sylwia,Zięcik,1966-01-21,2023-03-20,,77234647336
Apolonia,Mrozowicz,1976-12-24,2020-06-23,,55651543521
Róża,Gołek,1986-04-28,2021-04-29,,43869263825
Bartek,Młyńczyk,1998-03-19,2020-06-30,,19691780149
Paweł,Pawlonka,1977-04-01,2020-08-01,,13230736240
Ada,Kolarczyk,1982-12-29,2022-01-27,,38812312904
Julianna,Oszust,1970-01-31,2021-01-08,,88983235107
Przemysław,Kurpanik,1986-09-13,2023-08-27,,90557315706
Tomasz,Rogula,1968-02-14,2021-05-06,,32593673556
Ryszard,Dadej,1983-07-16,2020-10-26,,96275039843
Maurycy,Kandzia,1998-02-24,2020-03-31,2024-10-25,82286968251
Julita,Konsek,1974-11-19,2022-05-19,,24406041044
Anna Maria,Kłosowicz,1986-06-11,2021-12-03,2023-02-05,63888189111
Aleks,Kordys,1987-05-28,2023-04-04,,56703114837
Kalina,Brojek,1984-11-04,2021-03-27,,71966409896
Aniela,Sulik,1986-03-26,2023-02-28,,56978210413
Tobiasz,Broncel,1987-02-14,2022-09-11,2024-12-20,36404633254
Jakub,Lenarcik,1977-05-20,2021-09-30,,95957745669
Fabian,Płocharczyk,1974-02-16,2022-05-05,,38758294899
Oskar,Styn,1965-05-02,2021-09-28,2023-07-01,83611011858
Tymoteusz,Szałas,1983-10-14,2022-03-31,2023-07-25,36749190538
Rafał,Świerszcz,1977-09-07,2020-01-23,,50001362269
Olgierd,Pazik,1987-04-02,2023-01-24,,52885682430
Ada,Gal,1970-12-13,2020-08-09,,97160803619
Dariusz,Prokopczyk,1979-08-22,2021-08-20,,34284607061
Filip,Smutek,1968-10-14,2022-12-20,,47001710574
Eryk,Zimoląg,1971-04-12,2021-09-04,,77942771965
Bruno,Puła,1984-06-11,2022-04-01,,49578138154
Karina,Maszkiewicz,1976-02-08,2020-12-15,,50849345580
Alan,Stypuła,2002-05-10,2022-05-16,,51375869508
Ryszard,Drewnik,1979-01-16,2020-07-02,,38281788094
Albert,Kucharzyk,1986-06-29,2023-01-07,,97255261854
Dagmara,Pyrkosz,1981-05-24,2020-05-10,,35886050969
Klara,Witkowicz,1981-10-23,2022-07-09,,16446849730
Błażej,Chatys,1998-03-28,2021-06-25,,15885659010
Jędrzej,Stawinoga,1998-01-03,2023-05-30,,55660936474
Adrian,Leoniuk,1985-12-01,2020-11-03,,57622026809
Leon,Kunda,1969-11-01,2021-01-09,,14269180399
Kornel,Latko,1986-11-10,2023-02-14,,75667184072
Klara,Bartman,1986-04-01,2021-11-06,,52297706346
Sandra,Supernak,1987-10-18,2023-05-12,,80965916440
Cyprian,Klyszcz,1977-12-31,2021-11-03,,88561797574
Kajetan,Juśkiewicz,1978-07-20,2022-09-29,2024-03-28,23195281702
Angelika,Fijałek,1970-10-03,2022-07-26,,57970431614
Daniel,Bubak,1978-02-05,2021-02-04,,52623236907
Juliusz,Durlej,1985-06-05,2022-10-03,,73977753065
Jerzy,Krzystek,1974-07-22,2021-06-24,,51426402646
Nataniel,Gajdzik,1977-07-20,2021-12-18,,20878037321
Tola,Kurzydło,1967-12-19,2020-12-26,,65440642035
Dagmara,Wicha,1994-02-19,2022-07-29,,27496552105
Nela,Wawrzyczek,1999-07-01,2021-08-04,,58312774107
Damian,Wenzel,1997-01-30,2021-09-15,,13887611214
Ernest,Krzyżostaniak,1974-08-31,2020-05-01,2020-07-23,47063792928
Anna Maria,Bogusiewicz,1966-07-21,2021-03-07,,91316803311
Sonia,Golak,1987-11-15,2023-04-27,,27883658269
Przemysław,Wejman,1976-03-14,2021-07-13,,68819125171
Gabriel,Jachimczak,1998-11-05,2022-06-13,,20791561030
Marek,Ścibisz,1969-12-05,2022-12-14,,97040927560
Tomasz,Turlej,1975-09-01,2020-12-21,,17732122682
Arkadiusz,Listwan,1971-06-23,2023-04-10,,11529942316
Jędrzej,Mostek,1994-10-13,2021-11-17,,77826262145
Tadeusz,Frania,1977-11-03,2020-08-09,,46327533362
Eryk,Obarzanek,1988-04-17,2023-11-14,,94206906525
Artur,Herbut,1965-04-08,2022-08-07,,98007273459
Rafał,Adrian,1973-08-31,2021-02-28,,87878498393
Bianka,Misior,1974-12-07,2020-05-15,,28016028390
Kazimierz,Korzeniak,1984-01-02,2021-02-13,,54695385833
Eliza,Orman,1967-01-16,2020-06-19,,25908693124
Damian,Poreda,1966-08-14,2021-11-19,,21993949623
Roksana,Wiech,1991-12-10,2020-12-12,,16046207058
Szymon,Drewnik,1970-09-19,2020-03-13,,31951280601
Sebastian,Jasnoch,1969-04-22,2020-03-31,,76545564867
Inga,Obiała,1996-09-03,2022-08-11,,53519716170
Cyprian,Cherek,2000-07-21,2023-04-12,,19420567820
Krystyna,Kasperczak,1985-06-26,2023-08-29,,75099367472
Michał,Sobków,1977-03-22,2020-11-09,,40558467397
Julian,Wośko,1971-11-19,2022-06-26,2022-07-25,35303001967
Błażej,Jędrzejek,2002-10-14,2023-02-21,,13198554854
Ewa,Balik,2002-02-14,2023-06-30,,60880834515
Jacek,Syldatk,1989-11-18,2023-01-12,,68834144258
Róża,Frelich,1966-05-15,2020-07-16,,30837551432
Rozalia,Hadam,1979-06-08,2020-09-15,,11106614297
Paweł,Szczap,2002-05-13,2021-08-10,,59563206873
Leonard,Widłak,2001-08-31,2021-09-10,,37129470883
Paweł,Dusik,1983-11-23,2023-05-04,,91663326431
Ryszard,Myszak,1966-01-11,2023-07-10,,55935841697
Melania,Kubów,1969-11-11,2021-09-13,,83466508009
Jędrzej,Szklarek,1973-09-17,2020-02-22,,24379322809
Cyprian,Pryk,1980-08-25,2023-11-29,,14982988950
Ignacy,Musiolik,1984-11-01,2021-07-27,2024-09-10,35564083073
Rozalia,Deneka,1990-09-03,2020-06-04,2023-04-05,49754741099
Bartek,Langier,2000-09-18,2023-09-05,,60296770333
Sara,Kocoł,1995-05-01,2022-10-26,2022-10-30,77243456985
Kalina,Adamiuk,1985-04-23,2023-05-29,,18072814662
Ignacy,Kozon,1992-06-17,2022-10-15,,33017392250
Tymoteusz,Gal,1991-07-28,2020-03-30,,36265135872
Ida,Kruś,1966-07-08,2023-08-16,2024-06-30,73481936703
Franciszek,Faruga,1988-10-15,2023-02-17,,90891704909
Alan,Bogaczyk,1971-08-13,2020-06-14,,45556239831
Jacek,Karkocha,2002-04-18,2023-07-09,,94084627684
Marianna,Ruman,1987-07-10,2023-04-08,,57505078499
Krystian,Machul,1997-03-11,2021-05-24,,35263525813
Anastazja,Pazoła,1980-04-18,2023-08-25,,11773611072
Anastazja,Barteczko,1971-03-15,2021-06-18,,47905680143
Adrianna,Dworczak,1966-02-23,2023-09-19,,10289308834
Apolonia,Rusnak,1993-03-08,2023-02-17,,28173237145
Kacper,Barłóg,1974-07-17,2022-07-31,,40390610970
Róża,Tałaj,1987-07-04,2020-01-16,,65514004586
Konrad,Zachwieja,1977-07-10,2020-04-29,,65416570145
Cyprian,Kubrak,1990-08-16,2022-06-26,,96410190045
Tadeusz,Reichel,1982-11-09,2020-11-21,,51739137167
Inga,Nijak,1999-02-13,2023-10-31,,21192415342
Paweł,Dziarmaga,1997-09-18,2021-08-11,,74553405832
Ida,Bors,1976-10-25,2021-04-04,,32550408158
Oliwier,Policht,2002-01-06,2023-04-11,,55936336407
Justyna,Rusiniak,1967-12-28,2020-06-29,,59161400643
Patryk,Korta,1977-02-15,2023-03-22,,98844093173
Julian,Rompa,1970-05-09,2022-08-15,,90814600824
Gustaw,Piwek,1970-05-12,2020-06-29,,34958983788
Kazimierz,Łęgowik,1975-08-02,2023-09-05,,92609595535
Bartek,Witan,1988-07-17,2022-06-01,,76586272276
Aleksander,Kościesza,1979-03-04,2022-05-02,,17518768680
Juliusz,Szmuc,1992-01-18,2020-10-21,,90800204513
Krzysztof,Walenciak,1973-11-24,2021-10-26,,95762531299
Bartek,Janka,1971-03-06,2023-05-08,2024-06-22,34894398344
Tobiasz,Furmankiewicz,1976-09-05,2023-07-24,,80706547739
